ticker,nome,settore,prezzo,valore_intrinseco,sconto,qualita_ok,rischio,pe_ratio,roe,debito_equity,raccomandazione
AAPL,Apple Inc.,Technology,269.0,28.733627278548123,-836.1853183110971,True,Medio,40.819424,1.49814,154.486,EVITA
MSFT,Microsoft Corporation,Technology,542.07,137.04217309463536,-295.5497696505951,True,Medio,39.683018,0.33280998,32.661,EVITA
GOOGL,Alphabet Inc.,Communication Services,267.47,79.50576064034605,-236.41587458037537,True,Medio,28.545359,0.34829,11.481,EVITA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,229.25,67.9816416394897,-237.22339512735675,True,Medio,34.946648,0.2477,47.808,EVITA
TSLA,"Tesla, Inc.",Consumer Cyclical,460.55,28.015928505048695,-1543.8862624774517,True,Alto,317.62067,0.06791,17.082,EVITA
NVDA,NVIDIA Corporation,Technology,201.03,20.696765372274964,-871.3111995234597,True,Alto,57.43714,1.09417,10.584,EVITA
META,"Meta Platforms, Inc.",Communication Services,751.44,219.26603293716062,-242.70698016201854,True,Medio,27.265602,0.40647998,25.406,EVITA
JNJ,Johnson & Johnson,Healthcare,186.93,100.73194327800144,-85.57172026762946,True,Medio,18.060867,0.33619,57.766,EVITA
JPM,JPMorgan Chase & Co.,Financial Services,305.36,149.952,-103.63849765258217,True,Basso,15.116831,0.16437,,EVITA
XOM,Exxon Mobil Corporation,Energy,115.03,98.77574601085026,-16.455713720819944,True,Medio,16.339489,0.118310004,14.442,EVITA
V,Visa Inc.,Financial Services,346.9,23.499599999999997,-1376.1953394951406,True,Medio,33.91007,0.51755,65.017,EVITA
WMT,Walmart Inc.,Consumer Defensive,103.17,25.955786927003388,-297.483614309786,True,Medio,38.93207,0.23375,68.719,EVITA
PG,The Procter & Gamble Company,Consumer Defensive,151.37,58.80196680384084,-157.42336222351116,True,Medio,22.130116,0.31902,67.125,EVITA
KO,The Coca-Cola Company,Consumer Defensive,70.16,22.215329167041393,-215.81796277900395,True,Medio,23.231789,0.42442,144.771,EVITA
PEP,"PepsiCo, Inc.",Consumer Defensive,150.12,40.978764622667676,-266.33608011931165,True,Medio,28.485767,0.37162,260.19,EVITA
AVGO,Broadcom Inc.,Technology,372.97,83.00712009031213,-349.3229009682627,True,Alto,95.38875,0.27083,166.032,EVITA
LLY,Eli Lilly and Company,Healthcare,820.1,96.28123466406888,-751.7755332712331,True,Medio,53.636364,0.86291003,217.891,EVITA
UNH,UnitedHealth Group Incorporated,Healthcare,367.84,192.14775977062237,-91.43600760118741,True,Medio,15.930706,0.21653,75.577,EVITA
HD,"The Home Depot, Inc.",Consumer Cyclical,385.75,59.582990861486635,-547.4163086186092,True,Medio,26.205841,1.9395399,580.591,EVITA
MA,Mastercard Incorporated,Financial Services,565.93,10.401599999999998,-5340.797569604676,True,Medio,38.18691,1.7694701,240.919,EVITA
BAC,Bank of America Corporation,Financial Services,52.87,45.541199999999996,-16.09268091310726,True,Basso,14.445354,0.09871,,EVITA
CSCO,"Cisco Systems, Inc.",Technology,72.62,29.959406489239733,-142.39465500120076,True,Medio,28.478434,0.22059,63.282,EVITA
DIS,The Walt Disney Company,Communication Services,111.65,93.37449517935826,-19.572266265576342,True,Alto,17.5,0.1146,37.152,EVITA
INTC,Intel Corporation,Technology,41.53,3.8814945575126085,-969.948685606655,True,Alto,1384.3334,0.0018600001,39.881,EVITA
CRM,"Salesforce, Inc.",Technology,254.26,114.57658026566772,-121.91271498106293,True,Medio,37.01019,0.11201999,19.255,EVITA
NFLX,"Netflix, Inc.",Communication Services,1102.5,181.7531170984421,-506.59207258759585,True,Alto,45.994995,0.42861,65.822,EVITA
ADBE,Adobe Inc.,Technology,359.91,111.79641306308893,-221.93340567813715,True,Alto,22.452276,0.52875,56.542,EVITA
PYPL,"PayPal Holdings, Inc.",Financial Services,73.02,25.2516,-189.16979518129546,True,Medio,15.635973,0.22923,60.254,EVITA
T,AT&T Inc.,Communication Services,25.7,32.797941627486324,21.641424050641923,True,Medio,8.371336,0.19139999,123.112,ACQUISTA
VZ,Verizon Communications Inc.,Communication Services,39.32,48.63082355872662,19.145930250354205,True,Medio,9.144186,0.18454,167.439,ACQUISTA
BMY,Bristol-Myers Squibb Company,Healthcare,42.82,16.914063699915523,-153.16210675151865,True,Medio,17.196787,0.29319,291.549,EVITA
PFE,Pfizer Inc.,Healthcare,24.5,29.621710849054615,17.29039512658019,True,Medio,12.962963,0.12168,69.703,ACQUISTA
MRK,"Merck & Co., Inc.",Healthcare,87.03,43.94547095145643,-98.04088593369752,True,Medio,13.409862,0.35421002,72.161,EVITA
